timestamp;total_duration;load_duration;ttft_duration;prompt_eval_count;prompt_eval_duration;eval_count;eval_duration;model
1782985533.368729;17240962478;9898680491;17211099432;10;7306362000;12;33663000;gemma3:270m
1782985539.486966;6115682471;140266679;4502212481;14;4357747000;641;1615924000;gemma3:270m
1782985539.685653;191539785;153053008;165578512;66;6369000;12;28441000;gemma3:270m
1782985539.884767;193621831;139003077;148968432;43;5563000;20;46816000;gemma3:270m
1782985540.072284;182015668;139005472;149570164;45;5828000;15;34852000;gemma3:270m
1782985540.259626;182234072;143264151;153514184;73;6542000;13;30496000;gemma3:270m
1782985540.533428;267835936;153012038;162463738;15;5266000;45;108120000;gemma3:270m
1782985544.963347;4424588367;3807020531;4383486558;11;22744000;153;590821000;qwen3.5:0.8b
1782985561.042115;16075525829;229063811;11273492568;14;30535000;4082;15801165000;qwen3.5:0.8b
1782985576.92613;15868249403;224149888;None;68;14872000;4028;15598005000;qwen3.5:0.8b
1782985592.920508;15977209853;231499403;None;43;13450000;4053;15701191000;qwen3.5:0.8b
1782985608.918555;15984565821;224192697;None;45;13848000;4051;15715214000;qwen3.5:0.8b
1782985624.774256;15841582982;227938488;None;75;15410000;4021;15567507000;qwen3.5:0.8b
1782985639.282949;14493487863;229670148;14139446988;16;12206000;3659;14221273000;qwen3.5:0.8b
